title,link,published,date,source
The S&P 500 Isn’t That Expensive. Look at Profit Margins. - Barron's,https://news.google.com/rss/articles/CBMifEFVX3lxTE02SXd5Nl9zaHRFcjBSaWlyWUU3akFuWU1EajJiNl9wMl9CckViNGtyakd1VHBXd0tnd00zVXMxdzNTUFFuaVYzR1ZFVlNfWEU2TlB2eV9WNjNmd1pRLUtqSnJhcUFGTEJkNlhaemlFOER3Y21rZktROWwxUW4?oc=5,"Thu, 17 Jul 2025 16:08:00 GMT",2025-07-17 16:08:00,Google
The Trade Desk's S&P 500 Entry: Ad-Tech Stock as a Core Holding? - MarketBeat,https://news.google.com/rss/articles/CBMipgFBVV95cUxPMVFoUHlfdVhfaDZsUllRUXRhRzhxN1FzQnYwTUpwNzdUQXhhb0hsRFZTSXBsNEtiSWZERE9jbFctOTVvWnVVVjJMaXNveVEzUkVRNFNZektFUnBzdS15UTU4LTh6clZlV2ZiRzR2eVF4dzJnby1BazEzREo3LS1NVUNiNl9idFJ2elFRQVJNTjZNbGNvazJPMzhXelVPNVUyR1EyeHJB?oc=5,"Thu, 17 Jul 2025 20:03:13 GMT",2025-07-17 20:03:13,Google
Trade Desk's stock jumps on S&P 500 inclusion as Ansys exits index due to acquisition - CNBC,https://news.google.com/rss/articles/CBMipgFBVV95cUxNUjI4TXR2dnJrbjNudXZyRWlZU1pkSEVuMHM0b1d3aHJDY0ZtWFV2RlRSUmtieU83Vjlid3VpWUlxNkxyeHVSSlA3NVlpaHRVaW42YTQ0ai1aN0RpdnZndzd1Zm42OVFhV2g5aHVSNHRQcGNZMDhycnlWNGl2SUJ5QXNFRE5tazNKUjVjUV9vOEtSWkZpM0U5ZUNJb1NKanZwcTNpaExR0gGrAUFVX3lxTE1EeWJVTUMxNGRwTE5xQXNUSXhFTXhTdUJmNkFtS3YtbFlKTXhsOC10NnRTYW1nM1ZCWENuYmtLUUxUczBQQlhYZjhLS1AtUUxJdS1icV9pdHN0YzQ1dGtLQ0J5Q3RueTZIOEp6eE91WHVXS0RlTThla2pZbENDQjVQM0JRbExjbFVYbUR2YUh0cGYzUjJqQVlxNlNiVHRaTlpNMUpYdTFXOWZiMA?oc=5,"Mon, 14 Jul 2025 21:58:45 GMT",2025-07-14 21:58:45,Google
S&P 500 Gains and Losses Today: Pepsi Stock Turns Higher; Elevance Health Tumbles - Investopedia,https://news.google.com/rss/articles/CBMiqgFBVV95cUxORVNxbVFqR1R5OG1vUWg5M3lROUVmVVNrT0N5MVFpWF8wMWJncEltTU54cmFKMHN1endNOWJnLWZ1N3lxclh1LThfQVd2VlhyZUlKeUFZMFNXUkRrVFhyc29JNnlHTUZ0STVoNnRvTHYwTW1KZzNVU09hRG5faWRpLUZtbm5jTjhqQ3pUMGtrUGFMbzZzeUJMem04X0FyYWFoWnRjd2Y1Rk5vUQ?oc=5,"Thu, 17 Jul 2025 21:01:43 GMT",2025-07-17 21:01:43,Google
"S&P 500, Nasdaq end at fresh record highs on data, earnings - Yahoo Finance",https://news.google.com/rss/articles/CBMieEFVX3lxTE9WRDVUSDJQTFZsSGRfd01OOFFYWjlnUjQ2OFBDaG5ON19vUl9xcC1UMG1tNjNGUnJFSFg3U1lrOEpkNFY3bU5zV0dQU1RzVFgxc3FYelZlUWc2c2pYbDVJc1Y5UV94T1U5akJKVE5VRDU1V3JQSjJINQ?oc=5,"Thu, 17 Jul 2025 22:25:18 GMT",2025-07-17 22:25:18,Google
"Nasdaq, S&P 500 race to record highs in final hour - MarketWatch",https://news.google.com/rss/articles/CBMiygJBVV95cUxNTkgtYzdqUGhWM01SUi1nRDVuT1h6MUZxVkZ2d1l5Mll6VHI2S3hqVUY4bVZMUzM3VkdveEh1TzRpRjZiMlRqd1RBaWlnbjFJSDd3ckI1aEJlSktRNHVLbjhGWkZCWHhrVWJ3LTVsWUdtd1Y2d3l6M21YV0c0RUg3aHlNaFR5d09jN0RLdTBENkRla2tTNEFNbnpVYnNxeTd6N0hueFYzbjJIT2o0dTF3MnRyS3lDLUFkSXczeVZNT0pkYUdKRVJkaUZxZEZzR2dORFoxbm9HMlNneFJTeUNWSjEtZkVBa2hhUE42N1NFdEdWWjlKZnBWaTNiQTB6TGtpNmpwWFoxTkc4VktlcmRUNGJoQkRsTmczN3MtMVMwVS13WFRwOGRNS2NwRUxLRmNORFByNlp4WWQ2SWFUZ3d4b0lBWDUyd2tTOEE?oc=5,"Thu, 17 Jul 2025 19:44:04 GMT",2025-07-17 19:44:04,Google
S&P 500 Flirts With Record as Strong Retail Sales Bolster Growth - Bloomberg.com,https://news.google.com/rss/articles/CBMitgFBVV95cUxQU1U5V2EybGdobFpMTUgtNUJab3pTZ0xKLU5FTGRkeElvQ182UF9COURaLUNBdnExcEJMNXBlQVRBZEc0MFJMaUxCNGZDNGVvbmd1Nk9tNEVFVF9WUzRtOVREVnJOYmI2Y19icFdLNlEtSTdYc05JTjZmdUpWb210a2E1emQybDFUU2pNWnRFa1pDcEJlNmhFYzFVOGlLYkVnYWJfQlJidkFUWUc2eVQ4eWJTQnVMQQ?oc=5,"Thu, 17 Jul 2025 20:30:41 GMT",2025-07-17 20:30:41,Google
"S&P 500 Gains and Losses Today: State Street, BlackRock Shares Fall; Nvidia Stock Rises - Investopedia",https://news.google.com/rss/articles/CBMixAFBVV95cUxOcm9sZ05ORUt2WElCc25admZXQmtyQmxkbTVvVFpUb2lLQ2FPYXcyU3k0X0VQamJyMVFGQWVmVE1VVXRsdkdiOTE3WjlFVFpsUmpUU3B5MEZFLWRsck9DTHY0bHlJYWkxZXl5NW9LcVcxQVJ3MFJmWmltSXZySG9zQjVpU2UyTzUwakxpTVpvRTEwT2ZwN3U1aUQwdHZhanpHMXp2Um1INk91cjQwc2swUWlqbUYxalc0YUVoVDl6OEhoTTdK?oc=5,"Tue, 15 Jul 2025 21:46:06 GMT",2025-07-15 21:46:06,Google
S&P 500 stocks: List of additions and removals in 2025 - Yahoo Finance,https://news.google.com/rss/articles/CBMifkFVX3lxTFBBbmNzZ1JFWjZyQjVsZVVwcUpXNjRobnlFYUFxdGJ5Yy1MUnVEVTlRU1U1LU5EWjdLb0hjYm9WWlpNRmN1djFGWEp5NGprY3VKemd2aElnS2xzS0lNd2VKU2xmbk83YWE4czRHSUxGUldZNDdzQkVWUVhiVDhfQQ?oc=5,"Tue, 15 Jul 2025 13:37:55 GMT",2025-07-15 13:37:55,Google
"S&P 500, Nasdaq end at fresh record highs as data, earnings point to consumer strength - Yahoo Finance",https://news.google.com/rss/articles/CBMif0FVX3lxTE1qZXNwMnZoaGV2RzJOTm5TZ0JWU01TNEF6ZHFZN21XSFpWdDZwLVhiVkdKZTg2TlpsZGYtTUprSjZIYlUwQjg4OGVTUFVCOUVBdld4OHVUMmJVZk1hbkE5WXZuc2ZlNWg3UWU2S2lmZC1XTnJqY3l6T1JCOHh6N1U?oc=5,"Thu, 17 Jul 2025 10:23:33 GMT",2025-07-17 10:23:33,Google
