title,link,published,date,source
"PepsiCo posts better-than-expected second quarter despite lower US sales - ABC News - Breaking News, Latest News and Videos",https://news.google.com/rss/articles/CBMiqAFBVV95cUxORVBWRnJUVlRZd1BpZ1N2dS1rdkdVVFRmdWxzZFVVcTdtLWlnYjhGck1wT21RODBQUnFlRVFjZXZHeFczMHIydGRpRjdJck9KdjZqWlNUOFVaek5hc0xQdGd5eVhUamw2c2ZIMF84UVR1b2Z1X25KcU05Z1NjNmNodkNBTzNaS25fd0tFeVNkbE12NzBlYUxnR2dLVGFURFpXVld4Z3VzXzTSAa4BQVVfeXFMTWlfYTQ3MGFmZUI2eHlTbDJiVGUtLUNIaTRqTHFyT2kwT0NUc21nOXN2V1Q3TUdOelo4UTBBdTRURTJWSkROdC1MSXBIYnd1QkQzcEJDd3hlamJ0Tm4zU0NnTU1zdW5PbjZabEc0MlFMMk9hYlNqcFhvWWJfR0g0b1dRc25Wd0dSSWVFdGI0QlFYY0NYWlFjamZoNDVfczEzYnlrMVpna0h5ZlloRVJR?oc=5,"Thu, 17 Jul 2025 11:08:02 GMT",2025-07-17 11:08:02,Google
"PepsiCo (PEP) Shares Skyrocket, What You Need To Know - Yahoo Finance",https://news.google.com/rss/articles/CBMihgFBVV95cUxNdVRjYUxuUFZHQlhBU1FpV1g5d3pFWU02T3hFLUlvdWZOWGlQTE9BakFFa1daS0tWSy1VSzJDVXh3emc1YWVvUDEzbm90SndXdmNySW1FeGFuV2tUM3ZacVJCVkpOZ25sbkhOeS1MbXowbTc2b3czOHppaFB1dUVnRUsxV1ZwZw?oc=5,"Thu, 17 Jul 2025 17:20:41 GMT",2025-07-17 17:20:41,Google
PepsiCo expects smaller decline in annual core earnings - Reuters,https://news.google.com/rss/articles/CBMingFBVV95cUxOcS04aVhabjFWVEdKUk10V3VZaXFHdzRSbFVLOG9qZmdialVRNkZSdGN1S3A3eWdIYWhRcGpaWkVuZFNDRFUtMzdWWXlCU25TbWtzeG9ZS1hUaUlSR0xGWUhfeVo5eVpTeGI2OTF3dVZTVnYwemFaOVhudmF6Sk1vOGRfMk9wQng3MzdvVVQ0V21CdmExU2owZTRWbUcwUQ?oc=5,"Thu, 17 Jul 2025 10:10:51 GMT",2025-07-17 10:10:51,Google
"Top Stock Movers Now: PepsiCo, Elevance Health, CSX, and More - Yahoo Finance",https://news.google.com/rss/articles/CBMif0FVX3lxTE1BdGFsMWk5aWdRb0lyZHhtREwwdWhRS0poUjJuMTBrSFNIWDg1MWswS2w4T0RGWk9ualpVbWtwN0NCY195NVNyMVpoU0pxdHNTeDI2bm12ZzgxT0dNaDVsSURjZW5najNVYVBwVWZDVnBFQm1pWV83c0lGWWxpWGM?oc=5,"Thu, 17 Jul 2025 17:21:13 GMT",2025-07-17 17:21:13,Google
"PepsiCo to rebrand Lay's, Tostitos without artificial dyes, flavors - Reuters",https://news.google.com/rss/articles/CBMizgFBVV95cUxQTkpsQklpU3pYY0N0bXFuelZhZFRiX0RlUlc0V05MR0RIMVF5d25jTkF3WHJjaEtWYmswc0M3eG5oMXVzUTRMLXBSZms3d2RNcGU1eFRzYXIybnJWTWQ0VUV5OE9xYW5kZlhoajk3VkhWQ1pSb3RwZVJYSTA1YXozUDZqNFU3aHpBLWUyVjZtYUlSYTgtNkV2ODZKOUswZUEtcTRhVVQ5aDNoM2piYlJxNHZxWDl6V3pwTjd2WGx1eUVqZHlfMjVRZEZ6QWp2QQ?oc=5,"Thu, 17 Jul 2025 19:38:05 GMT",2025-07-17 19:38:05,Google
"PepsiCo, Citizens Financial, US Bancorp: Earnings movers - Yahoo Finance",https://news.google.com/rss/articles/CBMijAFBVV95cUxQUWJJbkRlX1p0VGZHMGVYVUQ2R3hYdlY3NFV4Nm04dXlucFhTd3c2bExUZUpxUDRPY3hZTTRJaklYZVNWZHlienI1ZGFnd21HOUNRajBMLTB5MWZZU3huNTk0UER6RkRrN2FFdGNnRTN1Wkdnd2ZvR25xY0xjRzhtT2dhY2cxWFdEdVVOYw?oc=5,"Thu, 17 Jul 2025 17:26:11 GMT",2025-07-17 17:26:11,Google
"PepsiCo stock pops on earnings beat, but headwinds lie ahead - Yahoo Finance",https://news.google.com/rss/articles/CBMihgFBVV95cUxQQ1hKTnk0cFhKNzQta2gwbTZmbmtuQ3ZWdG9CQUpISU41b1pJZWVRYVlTaTh4YWI3YjY2eF9pWHdlRVpoT092cURyTmhBVWN6UTZiRm1pN1Zkdlpub3ByOE91TVZybHkxSTVyYndPWnlwd3o3TzVmOERaNkpRLTBGNm9jQU15dw?oc=5,"Thu, 17 Jul 2025 14:50:56 GMT",2025-07-17 14:50:56,Google
"PepsiCo (PEP) Quarterly Earnings Decline Despite Stable Sales at US$22,726 Million - Yahoo Finance",https://news.google.com/rss/articles/CBMijAFBVV95cUxOVkpsODM1dGFMUTNrNXkxZ0hHcTAzVzU4em5aR0tpbFhzNkJ0YzRXNFQwSVBFalp4OFBVc242c1NmY0pPdC1YT2tDZHVPZUExRGNmcUZUa1NCNlJLSFNWb21vMU1WOXpvakhtUm9pYVlmRjRvU0tXWDdVTk5WYWNUQ2FBdVlsczRUUHMxbA?oc=5,"Thu, 17 Jul 2025 17:19:07 GMT",2025-07-17 17:19:07,Google
PepsiCo Stock Surges on Q2 EPS Beat and Revenue Crush - Yahoo Finance,https://news.google.com/rss/articles/CBMifkFVX3lxTFBpWGJpa05TazRob3dnV0tRZzdhVWZBajhrTG1fdkpGdURCcmllZ0FkMkxZM2JYXzdMSzBuak1qZFhSQzRJZEZTOEJXUWZMRzZhVVY3MTdRS1ZVWGMxeVdETXZFMnRQMzFBV19iZFctSFBmOGVqSEpkSnZKd293Zw?oc=5,"Thu, 17 Jul 2025 12:25:18 GMT",2025-07-17 12:25:18,Google
What To Expect From PepsiCo’s (PEP) Q2 Earnings - Yahoo Finance,https://news.google.com/rss/articles/CBMiggFBVV95cUxOTm44MmdUejBZdU9DYmlhb1RLTU1GRENVWmpYSU10WlNnZkU3b1puSU1xSzdIS0hMenEwTE5LZEdJbWNZcm5ocXpLTjJIdFQ2Slh4ZXF3QVgtMWRPUVZmdHFMWjRva2VHV2lBLTU3LWtpQlFKcmVGekczN0wwZTh2N29B?oc=5,"Wed, 16 Jul 2025 03:10:31 GMT",2025-07-16 03:10:31,Google
