title,link,published,date,source
The Trade Desk Stock Soars on Inclusion in S&P 500. History Says This Will Happen Next. - The Motley Fool,https://news.google.com/rss/articles/CBMilgFBVV95cUxQMk1oTFFPdldzVzVINnpxcE9GckxieHFwZUE4QmdjX1VGM3BZQ25FMzZJekc3Uzk2RWJnNmZBNzV3cDZuWjVsSkVObHhMWlZjYW95ZWE3dTNuTUtEUHVnV0pELWFZUEhWSkFSUVltTkY2NEJGejZERC1tVk93Q3BVS2F0RzhsdnNmVWJ6XzJieDk5emw5eWc?oc=5,"Thu, 17 Jul 2025 08:30:00 GMT",2025-07-17 08:30:00,Google
"US stocks end up, with Nasdaq and S&P 500 reaching records, on earnings and economic data - USA Today",https://news.google.com/rss/articles/CBMinAFBVV95cUxPQWlJSXQxbVRDQ1EzbjlackJWQ2J4c2FIenFKd2dNTVRNSURhVllFYmdnTmZBNFdMZGNaWVRnaTB1MkpOOFZLQ1A2SG1mNlBsZTRsUEs2RzlReko4eDRhM2NWV05uWjJhdkVMQklGLXZjOHVwSE1ncy00dDNSamV4U2UzcjVqWnRYcXlVV0xaUFlEUXRvdG5XY1BhSUE?oc=5,"Thu, 17 Jul 2025 15:43:45 GMT",2025-07-17 15:43:45,Google
Why This Top Performing S&P 500 Stock Is Receiving Price Target Hikes Ahead Of Earnings - Investor's Business Daily,https://news.google.com/rss/articles/CBMiowFBVV95cUxOR0l5WWgwZTlDeklnNVhDQU5mWnBOam8zOEE4YmliZkdqZllvaW5jU2V4UjdxNmktX21qUE1KU2E0WlBEVkNwZmtvUjJsd2U5a2h5bTZjeE56bUhYYl82QXhZX25WLW5jYWRsclBnNmVTbUs0eHNMQWU4Y1NTVjNfaDg0ajN1RlZOcVFFaFFKelo5WU90anJzUnp6ZVJIQ2NRczZZ?oc=5,"Thu, 17 Jul 2025 20:10:00 GMT",2025-07-17 20:10:00,Google
"US stock market today rallied: Dow, S&P 500, Nasdaq hit new highs as strong TSMC, PepsiCo earnings and ret - The Economic Times",https://news.google.com/rss/articles/CBMitAJBVV95cUxNT3l5WnkwZzZ4aUJ4aXRIWXVIcElyVl94ZUlLX2hIZmtPM2lTOHpJckJZM2dCblFRSU9TaVpqMkRzOXFZalBQUWlPeGZfaHNrTGoyNnJnUVFhMFNMemthVHZ2NUk1VHVFazRNRmNvOFJlc0pXY1lLc2ZnNk04NF8yY2RlN0taa0Y1eXlmaG1uZWcwWGNhZDFDcWxENDlBZlkxZ20xRWV6cXVwTTRUZkhFdEMyNUFjNFRRTm5LeUV1ZUUtckJkZTh4MDhySkVuaXZXemRONUQ0VDc5bFctdGhZLWV1QVpCdWU2bE1XWU1Yd0dZcmRFbEF3d0E2cHp4aGY3TmFnZzYtQm1QbXQyUkktYUxEVGU1RDJlQkxUckxEbVZBeGJSLUttWWxLLTQtMkpfamNaYtIBugJBVV95cUxPcG5VQk12R3c0WmNsamhCZkFGQ1daOXZBVXBkbk9jU3l6aHdVRWNIVkJDdHF0b1FpX2VtRE5id0NFVnNzUW1UU1NnTDhRT2dLRmdfeU9NSXpRb1NZT3FNYXVNcDRqSkN3U2c0dFFiZEZFRWtTTUl1eGdEUVhKb05SSW5WTHVJSF9YYWVfQWxraUhCbkduTXotTFJkWmx1dFFreGtuQWY3X2lOR1pzV2p6VDNBQ0R4NUtUN0k2Sk9FZGp6QVZpb2piMTU1LW45ZmtNbm94Slh2Z19YWld6Q3lPWW0wSDhrY1otdDBTQUZLMTgtaXVEUWVXcXR5Mm1fX3NxaEZobzVQY2pOZnlvbnloTEFpNlhUUUs4OHd3aFdxelpJYVNqWlBMeUxiRmp6cWhsSlZ1b3BON0VrZw?oc=5,"Thu, 17 Jul 2025 14:52:03 GMT",2025-07-17 14:52:03,Google
"Stock Market Today: S&P 500, Nasdaq Hit New Highs on Retail Sales Revival - Kiplinger",https://news.google.com/rss/articles/CBMiugFBVV95cUxQMEZEdkxKOXRTamI0RzlCRXB5WDNuR1NkSXVPV2JDWHo5QU9EaTJzZkhrV1FkSkIzVVZWUk5TU3FybkNYcTlQTmt4cXhXckl5UUMxcW14M3FvOFhBOVJEUHpVd2pwcmlWRWtRXzVZVTR1TlZBVXBtR2syVnEwYm9RYU9HX2FwNkh5S0ZobjdudHFHLUNydXVDZ29jR0tMNVNSemJqbGNLZmJqam5WYlk2dlBoUWtrZG9vM2c?oc=5,"Thu, 17 Jul 2025 20:05:33 GMT",2025-07-17 20:05:33,Google
S&P 500 Gains and Losses Today: Pepsi Stock Turns Higher; Elevance Health Tumbles - Investopedia,https://news.google.com/rss/articles/CBMiqgFBVV95cUxORVNxbVFqR1R5OG1vUWg5M3lROUVmVVNrT0N5MVFpWF8wMWJncEltTU54cmFKMHN1endNOWJnLWZ1N3lxclh1LThfQVd2VlhyZUlKeUFZMFNXUkRrVFhyc29JNnlHTUZ0STVoNnRvTHYwTW1KZzNVU09hRG5faWRpLUZtbm5jTjhqQ3pUMGtrUGFMbzZzeUJMem04X0FyYWFoWnRjd2Y1Rk5vUQ?oc=5,"Thu, 17 Jul 2025 21:01:43 GMT",2025-07-17 21:01:43,Google
"Stock market today: Nasdaq secures record close as investors shake off tariff threats, eye key inflation data - Yahoo Finance",https://news.google.com/rss/articles/CBMi7wFBVV95cUxQZG5SaXd5NkNsQmZjbUZjRGUwUTltU3ZvVHBjb3o5SF9GeWFwYUR3aU1rYW15R2ZqNXhyVnVtZjZKS2hDZk9kTHVDdklwUXJxNEdIYTJ3LWRPMmZyZXkxazRpYkZYWkJXMnB5eUFqd09PSmZnTnhNMW5FTXRKNGVVVnJBRlRHWjV3bTBWYnVZcWhWc3RHcGU4RGN6TFVXc3RPQjNqM2xPMEFHMkViR0FJTThaczEtWkg0bHotM0pNWTNIWmxGakVHMzBaa092bmNGSk1XT2k0R3dtMHVQWnFfV1BjdlJiaFhtTWo2b2lHMA?oc=5,"Mon, 14 Jul 2025 20:02:42 GMT",2025-07-14 20:02:42,Google
"Mike Wilson Sees Up to 10% S&P 500 Drop, Is Eager to Buy the Dip - Bloomberg.com",https://news.google.com/rss/articles/CBMiswFBVV95cUxPUGRSR011aWUxNXRfU1hQWFdMQmpvMTNUU3hzcmpsMUk2VmdhZXE3R3NKTzlBQUlOQ2dzd29IN0xNc0QtNlhmd0kxaU1ZSlh6MUhJWmtCZFNNYm1DOWZqamtCNHMzNk9NN2U0YU9KbVVIbTY2VU95aDBBZ2J2QTY0MmFfUHpHN0s0TDI3TUR6VkJ1MzdubDFVSFc0dC10a0NWR1FISEpVNG5LcmNhb1kzZUlXWQ?oc=5,"Thu, 17 Jul 2025 16:17:21 GMT",2025-07-17 16:17:21,Google
"S&P 500 Gains and Losses Today: State Street, BlackRock Shares Fall; Nvidia Stock Rises - Investopedia",https://news.google.com/rss/articles/CBMixAFBVV95cUxOcm9sZ05ORUt2WElCc25admZXQmtyQmxkbTVvVFpUb2lLQ2FPYXcyU3k0X0VQamJyMVFGQWVmVE1VVXRsdkdiOTE3WjlFVFpsUmpUU3B5MEZFLWRsck9DTHY0bHlJYWkxZXl5NW9LcVcxQVJ3MFJmWmltSXZySG9zQjVpU2UyTzUwakxpTVpvRTEwT2ZwN3U1aUQwdHZhanpHMXp2Um1INk91cjQwc2swUWlqbUYxalc0YUVoVDl6OEhoTTdK?oc=5,"Tue, 15 Jul 2025 21:46:06 GMT",2025-07-15 21:46:06,Google
"S&P 500, Nasdaq notch record closes as retail sales and earnings fuel rally - Seeking Alpha",https://news.google.com/rss/articles/CBMijAFBVV95cUxNeFpwVWo4dkxGUHdpcGs5bWtGQU9ZQU1wNklaNFlrVGp2WTNwelhPZDBObmV5X2ItSXdEMlF1NE9rOHpBTVdoVkpnVUItRE9mSXNQMU55Vjh5SnR3X3h6VVZZbVB5T19NQWNUUm5UU1ZUNlYxcXJ3UGdYMmd2bVJCaUZ0ejRiUjJHM1hfdQ?oc=5,"Thu, 17 Jul 2025 20:06:00 GMT",2025-07-17 20:06:00,Google
